gw,fixture,team,opponent,home,fdr,xg_for,xg_against,p_clean_sheet
7,69,NFO,ARS,True,4,0.828,1.56,0.21
7,69,ARS,NFO,False,3,1.56,0.828,0.4368
7,70,TOT,COV,True,2,1.264,1.376,0.2526
7,70,COV,TOT,False,3,1.376,1.264,0.2825
8,71,ARS,EVE,True,3,2.351,0.66,0.5171
8,71,EVE,ARS,False,5,0.66,2.351,0.0953
8,72,AVL,MCI,True,4,1.086,2.162,0.1151
8,72,MCI,AVL,False,4,2.162,1.086,0.3376
8,73,CHE,TOT,True,3,2.735,1.17,0.3104
8,73,TOT,CHE,False,4,1.17,2.735,0.0649
8,74,COV,FUL,True,2,1.584,1.074,0.3418
8,74,FUL,COV,False,2,1.074,1.584,0.2051
8,75,CRY,NEW,True,2,1.691,1.266,0.282
8,75,NEW,CRY,False,3,1.266,1.691,0.1844
8,76,HUL,BRE,True,3,1.345,1.53,0.2166
8,76,BRE,HUL,False,2,1.53,1.345,0.2604
8,77,IPS,NFO,True,3,1.5,1.404,0.2457
8,77,NFO,IPS,False,2,1.404,1.5,0.2231
8,78,LIV,BHA,True,2,2.145,1.916,0.1472
8,78,BHA,LIV,False,4,1.916,2.145,0.117
8,79,MUN,BOU,True,3,3.203,1.638,0.1944
8,79,BOU,MUN,False,4,1.638,3.203,0.0406
8,80,SUN,LEE,True,2,1.421,1.188,0.3048
8,80,LEE,SUN,False,3,1.188,1.421,0.2416
9,81,AVL,FUL,True,2,1.793,1.323,0.2664
9,81,FUL,AVL,False,4,1.323,1.793,0.1665
9,82,BOU,LEE,True,2,1.913,1.359,0.2569
9,82,LEE,BOU,False,3,1.359,1.913,0.1476
9,83,BRE,NFO,True,3,1.975,1.272,0.2803
9,83,NFO,BRE,False,3,1.272,1.975,0.1388
9,84,CHE,MUN,True,4,2.422,2.367,0.0937
9,84,MUN,CHE,False,4,2.367,2.422,0.0887
9,85,COV,SUN,True,2,1.365,0.998,0.3688
9,85,SUN,COV,False,2,0.998,1.365,0.2554
9,86,HUL,IPS,True,2,1.485,1.162,0.3128
9,86,IPS,HUL,False,2,1.162,1.485,0.2266
9,87,LIV,ARS,True,4,1.169,1.986,0.1373
9,87,ARS,LIV,False,4,1.986,1.169,0.3105
9,88,MCI,BHA,True,2,2.348,1.113,0.3286
9,88,BHA,MCI,False,5,1.113,2.348,0.0956
9,89,NEW,EVE,True,3,1.75,1.488,0.2259
9,89,EVE,NEW,False,3,1.488,1.75,0.1738
9,90,TOT,CRY,True,3,1.435,1.415,0.243
9,90,CRY,TOT,False,3,1.415,1.435,0.2382
10,91,ARS,HUL,True,2,1.881,0.563,0.5695
10,91,HUL,ARS,False,5,0.563,1.881,0.1525
10,92,BHA,BRE,True,3,2.02,1.631,0.1958
10,92,BRE,BHA,False,3,1.631,2.02,0.1326
10,93,CRY,LIV,True,4,1.699,1.82,0.162
10,93,LIV,CRY,False,3,1.82,1.699,0.1829
10,94,EVE,COV,True,2,1.407,1.257,0.2845
10,94,COV,EVE,False,3,1.257,1.407,0.2449
10,95,FUL,NEW,True,2,1.766,1.417,0.2424
10,95,NEW,FUL,False,3,1.417,1.766,0.1709
10,96,IPS,BOU,True,3,1.804,1.661,0.19
10,96,BOU,IPS,False,2,1.661,1.804,0.1646
10,97,LEE,TOT,True,3,1.863,1.157,0.3144
10,97,TOT,LEE,False,3,1.157,1.863,0.1552
10,98,MUN,AVL,True,3,3.151,1.379,0.2518
10,98,AVL,MUN,False,4,1.379,3.151,0.0428
10,99,NFO,MCI,True,4,1.09,1.827,0.1608
10,99,MCI,NFO,False,3,1.827,1.09,0.3361
10,100,SUN,CHE,True,4,1.437,1.744,0.1749
10,100,CHE,SUN,False,3,1.744,1.437,0.2377
