element,web_name,team,pos,price,xp_total,gws,xp_per_gw,value
591,Enciso,IPS,MID,5.5,24.264365873492533,6,4.0440609789154225,4.411702886089551
391,Gvardiol,MCI,DEF,5.6,24.188842571702505,6,4.0314737619504175,4.319436173518305
428,Cunha,MUN,MID,7.9,24.157080810101426,6,4.026180135016904,3.0578583303925857
399,Cherki,MCI,MID,7.8,24.140670068345443,6,4.0234450113909075,3.0949577010699287
249,Barry,EVE,FWD,5.5,24.100846853530655,6,4.016807808921776,4.381972155187392
86,Lewis-Potter,BRE,MID,5.5,24.077369049282996,6,4.012894841547166,4.377703463505999
237,Ndiaye,MCI,MID,5.9,23.959027392108403,6,3.9931712320180672,4.060852100357356
449,Hall,NEW,DEF,5.1,23.863627867652212,6,3.9772713112753686,4.679142719147493
15,Ødegaard,ARS,MID,6.6,23.52389090306076,6,3.92064848384346,3.5642258944031457
46,Barkley,AVL,MID,5.0,23.406272396077178,6,3.9010453993461964,4.681254479215435
236,Dewsbury-Hall,EVE,MID,6.5,23.262900680376237,6,3.8771501133960395,3.5789077969809595
586,Mendy,HUL,DEF,4.0,23.219311430103453,6,3.8698852383505753,5.804827857525863
279,Ajayi,HUL,DEF,4.1,22.864542102344576,6,3.8107570170574294,5.576717585937702
67,Rayan,BOU,MID,6.5,22.659567430977102,6,3.776594571829517,3.4860872970734005
