team_id,short_name,att,def,prior_att,prior_def,n_matches,xg_vs_avg,xga_vs_avg,net,home_adv,mu
15,MCI,0.3382110727659031,0.3674289914484571,0.39124598738417643,0.34764258431289835,2,1.950567445604114,0.9631754080870142,0.9873920375170998,0.22099017125667716,0.3299092552238199
1,ARS,0.18031831873436682,0.6424631814291604,0.30291425327400245,0.601550473880435,2,1.6656702149805627,0.7315761767557679,0.9340940382247948,0.22099017125667716,0.3299092552238199
16,MUN,0.49402217533270437,-0.0923765044230166,0.2969826687299043,0.007670191773823533,2,2.279443719578022,1.5254443728516591,0.753999346726363,0.22099017125667716,0.3299092552238199
6,CHE,0.24139700855814017,-0.03788063651512323,0.12688699602008263,-0.020063697234043734,2,1.7705783839161544,1.4445384976149587,0.32603988630119574,0.22099017125667716,0.3299092552238199
4,BRE,0.19472386226323607,-0.007587849766638746,0.0744563942877565,-0.017125237261913524,2,1.6898387623450861,1.401435551216808,0.28840321112827816,0.22099017125667716,0.3299092552238199
5,BHA,0.14463779801305773,0.03565882961273824,0.013385788685131707,0.10612593352403717,2,1.6072860175857906,1.342119962798137,0.26516605478765354,0.22099017125667716,0.3299092552238199
14,LIV,0.24809646896188242,-0.17576258518011278,0.20969970618219058,-0.043756017417227094,2,1.7824801268032944,1.6580991243223746,0.12438100248091977,0.22099017125667716,0.3299092552238199
18,NFO,-0.09694465274275205,0.06524557354812056,-0.06040906713888006,0.00877428109465341,2,1.26233679494581,1.302992681764039,-0.04065588681822896,0.22099017125667716,0.3299092552238199
3,BOU,0.07119857212016768,-0.11929961409984913,0.12885285167989602,-0.05724595637213036,2,1.4934782976162682,1.5670719362744523,-0.07359363865818414,0.22099017125667716,0.3299092552238199
7,COV,-0.22458363815160615,0.10587106585973848,-0.16346333427991955,0.1401643573766029,2,1.1110723355814844,1.2511187979473248,-0.1400464623658404,0.22099017125667716,0.3299092552238199
11,HUL,-0.2617993516849196,0.09952087332672914,-0.16346333427991955,0.1401643573766029,2,1.070482951878687,1.259088922325229,-0.18860597044654215,0.22099017125667716,0.3299092552238199
13,LEE,-0.14243000852486604,-0.026681428963854656,-0.035325393947805955,-0.08429939312060747,2,1.2062052164212431,1.4284510625695648,-0.22224584614832166,0.22099017125667716,0.3299092552238199
20,SUN,-0.2265073809781826,0.015241011818002595,-0.19381296775356913,0.07402951974889149,2,1.108936972749111,1.3698047937935482,-0.2608678210444373,0.22099017125667716,0.3299092552238199
12,IPS,-0.08021827735072246,-0.10610279662946115,-0.16346333427991955,0.1401643573766029,2,1.28362868572496,1.546527433158783,-0.26289874743382313,0.22099017125667716,0.3299092552238199
8,CRY,-0.19685934889194415,-0.020799250264332395,-0.21441384055015908,0.015497748244342203,2,1.1423070052608875,1.420073321995409,-0.27776631673452146,0.22099017125667716,0.3299092552238199
2,AVL,-0.10094821906286205,-0.10283981595688725,0.08930409414584145,0.040315556925940244,2,1.257293049091434,1.5414893680593444,-0.2841963189679104,0.22099017125667716,0.3299092552238199
9,EVE,-0.10361721829778027,-0.12348535784476988,-0.08200986223080418,0.02919428065639259,2,1.2539418091231922,1.5736450449067425,-0.3197032357835503,0.22099017125667716,0.3299092552238199
10,FUL,-0.15299284372325814,-0.1337606814720479,-0.08104610484405074,0.009739081463935716,2,1.1935313234650378,1.589898116801676,-0.39636679333663816,0.22099017125667716,0.3299092552238199
17,NEW,-0.11492564435889117,-0.17103281282386273,0.040879212905811764,-0.07043160320113968,2,1.2398415768684776,1.650275210172226,-0.4104336333037484,0.22099017125667716,0.3299092552238199
19,TOT,-0.21077869298167332,-0.2138201931029896,-0.05458952915997619,-0.10079227656262044,2,1.1265169892711209,1.722418569740248,-0.5959015804691272,0.22099017125667716,0.3299092552238199
